Content.id,Content Name,ContentCode,Content.title,Content.Link,Content.type,Content.releaseDate,Current Curriculum,Age,Current Level,Goal (from Goal content),SCC Unit Age,SCC Unit Title,SEL Unit Age,SEL Unit Title,SEL Lesson Title
1030,S052 Using a Filter (1030),S052,Using a Filter,https://slp.everydayspeech.com/video/using-a-filter,video,2015-02-06,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Think It or Say It,,,,,
917,S036 Public vs Private (917),S036,Public vs Private,https://slp.everydayspeech.com/video/public-vs-private,video,2015-03-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School, (3) Middle & High School",Intermediate,Think It or Say It,(2) Elementary School,Practice Think It or Say It,,,
8,S037 Worry About Yourself - Younger (8),S037,Worry About Yourself - Younger,https://slp.everydayspeech.com/video/worry-about-yourself-younger,video,2015-03-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Ignoring Others' Behavior,(2) Elementary School,Practice Ignoring Others,,,
589,S013 Staying on Topic (589),S013,Staying on Topic,https://slp.everydayspeech.com/video/staying-on-topic-2,video,2015-03-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Emergent,Making Connected Comments,(3) Middle & High School,Practice Making Connected Comments,,,
809,S028 Your Body Language Sends a Message (809),S028,Your Body Language Sends a Message,https://slp.everydayspeech.com/video/your-body-language-sends-a-message,video,2015-03-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School, (3) Middle & High School","Emergent, Intermediate",Understanding Body Language,(2) Elementary School,Body Language Basics,,,
793,S072 Not Getting Your Way (793),S072,Not Getting Your Way,https://slp.everydayspeech.com/video/not-getting-your-way,video,2015-03-26,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Being a Good Sport,(2) Elementary School,Conflict Resolution,1st Grade,Relationship Skills,Getting Along with Others
60,S071 Apologizing (60),S071,Apologizing,https://slp.everydayspeech.com/video/apologizing-3,video,2015-03-26,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Handling Conflicts With Friends,(2) Elementary School,Apologizing to Friends,1st Grade,Relationship Skills,Apologizing
737,S004 Voice Volume (737),S004,Voice Volume,https://slp.everydayspeech.com/video/voice-volume,video,2015-03-26,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Tone of Voice,,,,,
425,S026 Making Eye Contact I (425),S026,Making Eye Contact I,https://slp.everydayspeech.com/video/making-eye-contact-i,video,2015-03-26,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Visual Referencing,,,,,
114,S022 Understanding Sarcasm (114),S022,Understanding Sarcasm,https://slp.everydayspeech.com/video/understanding-sarcasm,video,2015-03-26,Social Communication Skills,(3) Middle & High School,Advanced,Using Humor & Sarcasm,,,,,
310,S006 Taking Turns In Conversation (310),S006,Taking Turns In Conversation,https://slp.everydayspeech.com/video/taking-turns-in-conversation-2,video,2015-04-04,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Conversation Share,(2) Elementary School,Practice Sharing Conversations,,,
436,S017 Interrupting (436),S017,Interrupting,https://slp.everydayspeech.com/video/interrupting,video,2015-05-03,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Conversation Stoplight,,,,,
707,S044 Approaching a Group - Younger (707),S044,Approaching a Group - Younger,https://slp.everydayspeech.com/video/approaching-a-group-younger,video,2015-05-03,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Asking Others to Play,(2) Elementary School,Practice Asking Others to Play,,,
4,S016 Gaining Someone's Attention (4),S016,Gaining Someone's Attention,https://slp.everydayspeech.com/video/gaining-someone-s-attention,video,2015-05-03,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School, (3) Middle & High School",Intermediate,Starting a Conversation,(2) Elementary School,Gaining Attention,,,
46,S065 Losing Self-Control (46),S065,Losing Self-Control,https://slp.everydayspeech.com/video/losing-self-control,video,2015-05-14,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Emergent, Intermediate",Using Your Self-Controller,(3) Middle & High School,What is the Self-Controller,,,
802,S056 Hidden Social Rules - Making Noise (802),S056,Hidden Social Rules - Making Noise,https://slp.everydayspeech.com/video/hidden-social-rules-making-noise,video,2015-05-14,Social Communication Skills,(3) Middle & High School,Advanced,Thinking About Others,,,,,
76,S018 Saying Too Much (76),S018,Saying Too Much,https://slp.everydayspeech.com/video/saying-too-much,video,2015-05-14,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Conversation Measuring Cup,(2) Elementary School,Using the Conversation Measuring Cup,,,
391,S073 Feeling Jealous (391),S073,Feeling Jealous,https://slp.everydayspeech.com/video/feeling-jealous,video,2015-05-15,"Social Communication Skills, Social Emotional Learning","(1) Pre-k and K, (2) Elementary School",Intermediate,Changing the Channel on Feelings,(2) Elementary School,Handling Jealousy,,,
685,S007 Thinking About Others (685),S007,Thinking About Others,https://slp.everydayspeech.com/video/thinking-about-others,video,2015-05-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,"Thinking About Others, Topic Radar","(2) Elementary School, (2) Elementary School","How to Think About Others, Additional Practice",,,
627,S021 Think About Who You're Talking To (627),S021,Think About Who You're Talking To,https://slp.everydayspeech.com/video/think-about-who-you-re-talking-to,video,2015-05-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Topic Radar,,,,,
115,S043 Act Like You're Interested - Younger (115),S043,Act Like You're Interested - Younger,https://slp.everydayspeech.com/video/act-like-you-re-interested-younger,video,2015-05-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Act Like You're Interested,(2) Elementary School,How to Show Interest,,,
797,S050 Calling Friends on the Phone (797),S050,Calling Friends on the Phone,https://slp.everydayspeech.com/video/calling-friends-on-the-phone,video,2015-05-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School","Intermediate, Advanced",Cyber Skills,(3) Middle & High School,Talking to Friends Online,,,
494,S075 Politely Saying No to An Invitation (494),S075,Politely Saying No to An Invitation,https://slp.everydayspeech.com/video/politely-saying-no-to-an-invitation,video,2015-05-15,Social Communication Skills,"(2) Elementary School, (3) Middle & High School",Intermediate,Think It or Say It,(2) Elementary School,Practice Think It or Say It,,,
282,S039 Following the Group (282),S039,Following the Group,https://slp.everydayspeech.com/video/following-the-group,video,2015-05-15,Social Communication Skills,"(1) Pre-k and K, (2) Elementary School",Emergent,Playing With Others,(2) Elementary School,Play Basics,,,
